<data>
<obtid>50136</obtid><ddatetime>2022_10_24 20:5134</ddatetime><t>189</t><p>10264</><u>80</u><keyid>384471</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 20:5234</ddatetime><t>227</t><p>10046</><u>12</u><keyid>428548</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 20:5334</ddatetime><t>207</t><p>10026</><u>47</u><keyid>458317</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 20:5434</ddatetime><t>46</t><p>10235</><u>19</u><keyid>498758</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 20:5534</ddatetime><t>174</t><p>10045</><u>95</u><keyid>539869</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 20:5634</ddatetime><t>214</t><p>10052</><u>75</u><keyid>582658</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 20:5734</ddatetime><t>119</t><p>10106</><u>80</u><keyid>627125</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 20:5834</ddatetime><t>208</t><p>10213</><u>96</u><keyid>673270</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 20:5934</ddatetime><t>93</t><p>10109</><u>66</u><keyid>721093</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 21:0034</ddatetime><t>328</t><p>10019</><u>74</u><keyid>770612</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 21:0134</ddatetime><t>253</t><p>10216</><u>79</u><keyid>821791</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 21:0234</ddatetime><t>248</t><p>10018</><u>66</u><keyid>874648</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 21:0334</ddatetime><t>150</t><p>10244</><u>11</u><keyid>929183</keyid><endl/>
<obtid>50136</obtid><ddatetime>2022_10_24 21:0434</ddatetime><t>214</t><p>10028</><u>22</u><keyid>985396</keyid><endl/>
</data>
